Name,AttributeDescription,Type,Units,Length,ValidValues,AggDefaultValues,DefaultValue1,DefaultValueDesciption1,DefaultValue2,DefaultValueDesciption2,DefaultValue3,DefaultValueDesciption3,DefaultValue4,DefaultValueDesciption4,DefaultValue5,DefaultValueDesciption5,DefaultValue6,DefaultValueDesciption6,Equifax_TU_Availability,LeveledWithExperian,ExpNewData_ArchiveAvailableDate_Arf7SubsegKeyword,RecommendedNotToUse_NCAPImpact
ALJ0300,Total number of joint trades excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALJ0313,Total number of joint trades reported in the last 3 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
98: No joint trade",99,No trade excluding collections,98,No joint trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALJ0316,Total number of joint trades reported in the last 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
98: No joint trade",99,No trade excluding collections,98,No joint trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALJ0416,Total number of open joint trades reported in the last 3 months ,number,Trades,2,0-90,"99: No trade excluding collections
98: No joint trade
",99,No trade excluding collections,98,No joint trade,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALJ5030,"Total balance on open, or closed with a balance > $0 joint trades, reported in the last 3 months excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null
ALJ5320,Total credit amount on open joint trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open joint trade reported within timeframe required
",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,No open joint trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null
ALJ5530,"Average balance on open, or closed with a balance > $0 joint trades, reported in the last 3 months excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null
ALJ5730,"Total amount past due on open, or closed with a balance > $0 joint trades, reported in the last 3 months excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required
",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null
ALJ5820,Total monthly payment on open joint trades reported in the last 3 months ,number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open joint trade reported within timeframe required
",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,No open joint trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null
ALJ5830,"Total monthly payment on open, or closed with a balance > $0 joint trades, reported in the last 3 months excluding derogatory trades",number,$,9,0-999999990,"999999999: No trade excluding collections
999999998: No joint trade
999999997: No joint trade reported within timeframe required
999999996: No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required",999999999,No trade excluding collections,999999998,No joint trade,999999997,No joint trade reported within timeframe required,999999996,"No open, or closed with a balance > $0 joint trade, excluding derogatory trades reported within timeframe required",Null,Null,Null,Null,Null,Null,Null,Null
